"","Year","Species Name","Escapement","CDN Harvest","Total Harvest","TRTC","Total Run","SEAK Harvest","SEAK ER","CDN ER","Total ER"
"94",2006,"Coho",169839.063259951,39231.6217666345,153841.773690492,209070.685026586,323680.836950444,114610.151923858,0.354083834568818,0.121204647566581,0.475288482135399
"95",2007,"Coho",163939.751902048,38085.967019759,161441.58870524,202025.718921807,325381.340607288,123355.621685481,0.379110927059467,0.117050249251158,0.496161176310625
"96",2008,"Coho",145886.465559475,21051.4220063326,98709.3172779262,166937.887565807,244595.782837401,77657.8952715936,0.317494825015924,0.0860661690979639,0.403560994113888
"97",2009,"Coho",346192.659430722,46920.9626776342,185254.709899505,393113.622108356,531447.369330226,138333.747221871,0.260296231019471,0.0882890110769913,0.348585242096463
"98",2010,"Coho",163290.757025863,34432.5278957775,140763.088429647,197723.284921641,304053.84545551,106330.56053387,0.349709639010068,0.113244836105241,0.462954475115309
"99",2011,"Coho",51412.7296968864,8959.80938129069,53823.1092046971,60372.5390781771,105235.838901584,44863.2998234064,0.426311989258358,0.0851402856176198,0.511452274875978
"100",2012,"Coho",151757.324816415,56741.0944985782,188134.703598498,208498.419314993,339892.028414912,131393.60909992,0.386574553432967,0.166938585653775,0.553513139086742
"101",2013,"Coho",320305.570713685,135443.933698124,614955.162621995,455749.504411809,935260.733335681,479511.228923871,0.512703262130611,0.144819437906959,0.65752270003757
"102",2014,"Coho",284070.842351614,39737.4218788737,208497.367454464,323808.264230487,492568.209806078,168759.94557559,0.342612337166522,0.0806739474610393,0.423286284627562
"103",2015,"Coho",62134.4556083517,24957.7361046672,86178.1106640616,87092.1917130189,148312.566272413,61220.3745593944,0.412779416458535,0.168277960067295,0.58105737652583
"104",2016,"Coho",158803.197347257,76885.3067877387,372515.952235237,235688.504134996,531319.149582494,295630.645447498,0.556408790610695,0.144706447806661,0.701115238417356
"105",2017,"Coho",268207.879236941,132428.882507973,366413.902483671,400636.761744914,634621.781720612,233985.019975698,0.368699951239159,0.208673711370143,0.577373662609302
"106",1954,"Chum",39816.0487733928,18750.3086940652,32083.4445794655,58566.3574674579,71899.4933528582,13333.1358854003,0.18544130512806,0.260784990542911,0.446226295670971
"107",1955,"Chum",12985.4613613224,5881.7472154476,10177.029807882,18867.20857677,23162.4911692045,4295.2825924344,0.185441305128058,0.253934137415566,0.439375442543624
"108",1956,"Chum",59489.604888309,63031.5534249483,90924.5507576746,122521.158313257,150414.155645984,27892.9973327263,0.185441305128059,0.419053334137645,0.604494639265704
"109",1957,"Chum",96335.4501434584,69181.0864009136,106862.352036277,165516.536544372,203197.802179736,37681.2656353634,0.185441305128059,0.340461784816552,0.525903089944611
"110",1958,"Chum",92207.7316910841,49166.2917290165,81351.3062396651,141374.023420101,173559.037930749,32185.0145106486,0.18544130512806,0.283282808635031,0.468724113763091
"111",1959,"Chum",211779.902270654,91385.6133771705,160403.855089503,303165.515647824,372183.757360157,69018.2417123325,0.185441305128059,0.245538961789614,0.430980266917673
"112",1960,"Chum",103166.508897882,38573.32874348,70841.6240134555,141739.837641362,174008.132911338,32268.2952699755,0.18544130512806,0.221675436073636,0.407116741201696
"113",1961,"Chum",126185.586650561,45901.0072479974,85078.0030476777,172086.593898558,211263.589698239,39176.9957996803,0.18544130512806,0.217268897653215,0.402710202781274
"114",1962,"Chum",86445.6209250115,14834.1904796354,37891.4121730999,101279.811404647,124337.033098111,23057.2216934645,0.18544130512806,0.119306292823717,0.304747597951777
"115",1963,"Chum",100376.02262189,4802.06050346664,28746.757341673,105178.083125356,129122.779963563,23944.6968382064,0.185441305128059,0.0371898785390287,0.222631183667088
"116",1964,"Chum",140690.236603301,31686.4774911629,70929.5216531178,172376.714094464,211619.758256419,39243.0441619549,0.18544130512806,0.149733076685441,0.335174381813501
"117",1965,"Chum",48609.5853479782,22881.7522656931,39157.3712430514,71491.3376136713,87766.9565910297,16275.6189773583,0.18544130512806,0.260710330566843,0.446151635694902
"118",1966,"Chum",54014.6935662473,15397.3593726501,31199.6112786723,69412.0529388973,85214.3048449196,15802.2519060222,0.185441305128059,0.18068984310406,0.36613114823212
"119",1967,"Chum",46119.6982725898,39780.7125651285,59336.6812105647,85900.4108377183,105456.379483154,19555.9686454362,0.185441305128061,0.377224334460327,0.562665639588389
"120",1968,"Chum",76106.3633991756,33697.1210584801,58694.830362458,109803.484457656,134801.193761634,24997.7093039779,0.18544130512806,0.249976429126184,0.435417734254244
"121",1969,"Chum",40023.5873866299,15949.4648198364,28692.212418645,55973.0522064663,68715.7998052749,12742.7475988086,0.185441305128059,0.232107679238743,0.417548984366802
"122",1970,"Chum",54967.8940409457,15765.1903355876,31868.186430399,70733.0843765333,86836.0804713448,16102.9960948114,0.18544130512806,0.181551150743037,0.366992455871097
"123",1971,"Chum",43978.6356906111,11225.8849291793,23793.6696906105,55204.5206197904,67772.3053812216,12567.7847614312,0.18544130512806,0.165641184345631,0.351082489473691
"124",1972,"Chum",122799.643118069,34916.3031520324,70821.6972015461,157715.946270101,193621.340319615,35905.3940495137,0.18544130512806,0.180332927632849,0.365774232760909
"125",1973,"Chum",105774.983968143,18553.5081800418,46857.9606322839,124328.492148185,152632.944600427,28304.4524522421,0.18544130512806,0.121556379775103,0.306997684903164
"126",1974,"Chum",210714.083821388,82229.5249492374,148920.661488992,292943.608770626,359634.74531038,66691.1365397546,0.185441305128061,0.228647331831828,0.414088636959889
"127",1975,"Chum",54426.8079906545,7569.22777363629,21683.1594734303,61996.0357642907,76109.9674640848,14113.931699794,0.185441305128059,0.0994512023304714,0.284892507458531
"128",1976,"Chum",104773.370430404,10275.2477619094,36467.056952672,115048.618192313,141240.427383076,26191.8091907626,0.18544130512806,0.072750047222957,0.258191352351017
"129",1977,"Chum",102533.329289676,88181.7996782582,131599.741990003,190715.128967934,234133.071279679,43417.9423117448,0.18544130512806,0.376631114930886,0.562072420058947
"130",1978,"Chum",105976.494774784,55030.6991120358,91685.3740388961,161007.19388682,197661.86881368,36654.6749268603,0.185441305128061,0.278408270863354,0.463849575991415
"131",1979,"Chum",70900.892151872,25069.8126170173,46918.370441571,95970.7047688893,117819.262593443,21848.5578245537,0.18544130512806,0.212781951483819,0.398223256611879
"132",1980,"Chum",86235.6907088927,39546.3853148787,68181.7586604816,125782.076023771,154417.449369374,28635.3733456029,0.18544130512806,0.256100495613561,0.441541800741622
"133",1981,"Chum",26305.5998450098,12223.2588730941,20994.6855250471,38528.8587181039,47300.2853700569,8771.426651953,0.185441305128059,0.258418290237884,0.443859595365943
