"SpeciesId","Species Name","CU","CU Name","Year","T_Idx_E","ExpFactor1","AdjSum","ExpFactor2","ObsE","ExpFactor3","TE","CDN Harvest","CDN ER","TRTC","Total Harvest","Total ER","Total Run","Q1","Q2","Q3"
"CM","Chum","CM_27","Lower Skeena",2001,8600,1.03880978345537,8933.76413771615,1.41756275206887,12664.1712773951,1.5,18996.2569160927,2563.26845427239,0.100897456934226,21559.5253703651,6408.43148892188,0.252253890571511,25404.6884050146,1.66666666666667,4.81320072224255,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2002,3060,1.12066983523021,3429.24969580445,1.41756275206887,4861.17663631591,1.5,7291.76495447387,1098.87371149283,0.117381800434943,8390.6386659667,2069.76900923338,0.221092933835144,9361.53396370725,1.66666666666667,4.4616173674139,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2003,27,170.452965235174,4602.23006134969,1.41756275206887,6523.94991142098,1.5,9785.92486713146,705.500185639715,0.0581897740399442,10491.4250527712,2338.20170458244,0.19285527008911,12124.1265717139,1.66666666666667,0.0293336052740503,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2004,70,170.452965235174,11931.7075664622,1.41756275206887,16913.9442147951,1.5,25370.9163221927,2594.13337620687,0.0802316322906168,27965.0496983996,6962.13365004697,0.215325608194231,32333.0499722397,1.66666666666667,0.0293336052740503,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2005,435,26.7666987797046,11643.5139691715,1.41756275206887,16505.4117058911,1.5,24758.1175588367,100.463725883453,0.00351287037952525,24858.5812847201,3840.63930649065,0.134293924892483,28598.7568653273,1.66666666666667,0.186799277757449,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2006,,,,,,,,,,,,,,,,
"CM","Chum","CM_27","Lower Skeena",2007,120,31.7529523809524,3810.35428571429,1.41756275206887,5401.41630761457,1.5,8102.12446142186,681.141136168908,0.067320116119435,8783.26559759077,2015.81911075606,0.199232096559533,10117.9435721779,1.66666666666667,0.157465672483399,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2008,60,31.7529523809524,1905.17714285714,1.41756275206887,2700.70815380729,1.5,4051.06223071093,450.859200803093,0.0907739683650996,4501.92143151402,915.771421308161,0.184377308657375,4966.83365201909,1.66666666666667,0.157465672483399,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2009,481,4.54194480015258,2184.67544887339,1.41756275206887,3096.91454168227,1.5,4645.3718125234,31.8825590815089,0.00596836279349762,4677.25437160491,696.555309642188,0.130394012069526,5341.92712216559,1.66666666666667,1.1008500146968,3.52718071401263
"CM","Chum","CM_27","Lower Skeena",2010,290,3.99950525664811,1159.85652442795,1.41756275206887,1644.16940677313,1.5,2466.25411015969,30.5552822226538,0.0108049033787047,2496.80939238235,361.654770809571,0.127887702904209,2827.90888096926,1.66666666666667,1.25015462642256,3.52718071401263
