"","year","Stock","type","fish"
"75",1991,"Meziadin","TE",250000
"76",1991,"Meziadin","Total Run",823044.790310244
"77",1992,"Meziadin","TE",592118
"78",1992,"Meziadin","Total Run",1846470.13612822
"79",1993,"Meziadin","TE",400000
"80",1993,"Meziadin","Total Run",1669272.15749714
"81",1994,"Meziadin","TE",158010
"82",1994,"Meziadin","Total Run",437773.264547693
"83",1995,"Meziadin","TE",205853
"84",1995,"Meziadin","Total Run",912069.265626533
"85",1996,"Meziadin","TE",182082
"86",1996,"Meziadin","Total Run",907303.180500531
"87",1997,"Meziadin","TE",158687
"88",1997,"Meziadin","Total Run",610615.517968663
"89",1998,"Meziadin","TE",163925
"90",1998,"Meziadin","Total Run",470386.703220761
"91",1999,"Meziadin","TE",180350
"92",1999,"Meziadin","Total Run",769472.013903753
"93",2000,"Meziadin","TE",137042
"94",2000,"Meziadin","Total Run",430207.210109997
"95",2001,"Meziadin","TE",116192
"96",2001,"Meziadin","Total Run",429050.588526909
"97",2002,"Meziadin","TE",332442
"98",2002,"Meziadin","Total Run",1128332.1345054
"99",2003,"Meziadin","TE",196852
"100",2003,"Meziadin","Total Run",821581.82173366
"101",2004,"Meziadin","TE",140923
"102",2004,"Meziadin","Total Run",659321.218578706
"103",2005,"Meziadin","TE",142858
"104",2005,"Meziadin","Total Run",403972.980711253
"105",2006,"Meziadin","TE",146954
"106",2006,"Meziadin","Total Run",424522.864476918
"107",2007,"Meziadin","TE",104308
"108",2007,"Meziadin","Total Run",410767.500860138
"109",2008,"Meziadin","TE",150383
"110",2008,"Meziadin","Total Run",272924.795247794
"111",2009,"Meziadin","TE",168404
"112",2009,"Meziadin","Total Run",405036.15568948
"113",2010,"Meziadin","TE",159120
"114",2010,"Meziadin","Total Run",291987.201966609
"115",2011,"Meziadin","TE",167524
"116",2011,"Meziadin","Total Run",326578.038621671
"117",2012,"Meziadin","TE",144923
"118",2012,"Meziadin","Total Run",321842.651994079
"119",2013,"Meziadin","TE",170376
"120",2013,"Meziadin","Total Run",401621.580149435
"121",2014,"Meziadin","TE",144920
"122",2014,"Meziadin","Total Run",290669.997933883
"123",2015,"Meziadin","TE",185917
"124",2015,"Meziadin","Total Run",424426.069657138
"125",2016,"Meziadin","TE",109868
"126",2016,"Meziadin","Total Run",176768.512900014
"127",2017,"Meziadin","TE",119088
"128",2017,"Meziadin","Total Run",186320.667716432
"129",1960,"Nass","TE",NA
"130",1960,"Nass","Total Run",NA
"131",1961,"Nass","TE",NA
"132",1961,"Nass","Total Run",NA
"133",1962,"Nass","TE",NA
"134",1962,"Nass","Total Run",NA
"135",1963,"Nass","TE",NA
"136",1963,"Nass","Total Run",NA
"137",1964,"Nass","TE",NA
"138",1964,"Nass","Total Run",NA
"139",1965,"Nass","TE",NA
"140",1965,"Nass","Total Run",NA
"141",1966,"Nass","TE",NA
"142",1966,"Nass","Total Run",NA
"143",1967,"Nass","TE",NA
"144",1967,"Nass","Total Run",NA
"145",1968,"Nass","TE",NA
"146",1968,"Nass","Total Run",NA
"147",1969,"Nass","TE",NA
"148",1969,"Nass","Total Run",NA
"149",1970,"Nass","TE",NA
"150",1970,"Nass","Total Run",NA
"151",1971,"Nass","TE",NA
"152",1971,"Nass","Total Run",NA
"153",1972,"Nass","TE",NA
"154",1972,"Nass","Total Run",NA
"155",1973,"Nass","TE",NA
"156",1973,"Nass","Total Run",NA
"157",1974,"Nass","TE",NA
"158",1974,"Nass","Total Run",NA
"159",1975,"Nass","TE",NA
"160",1975,"Nass","Total Run",NA
"161",1976,"Nass","TE",NA
"162",1976,"Nass","Total Run",NA
"163",1977,"Nass","TE",NA
"164",1977,"Nass","Total Run",NA
"165",1978,"Nass","TE",NA
"166",1978,"Nass","Total Run",NA
"167",1979,"Nass","TE",NA
"168",1979,"Nass","Total Run",NA
"169",1980,"Nass","TE",NA
"170",1980,"Nass","Total Run",NA
"171",1981,"Nass","TE",NA
"172",1981,"Nass","Total Run",NA
"173",1982,"Nass","TE",350008
"174",1982,"Nass","Total Run",920757
"175",1983,"Nass","TE",209432
"176",1983,"Nass","Total Run",615371
"177",1984,"Nass","TE",201970
"178",1984,"Nass","Total Run",543032
"179",1985,"Nass","TE",407042
"180",1985,"Nass","Total Run",841303
"181",1986,"Nass","TE",213695
"182",1986,"Nass","Total Run",658881
